STATE,ZIPCODE,AGI2016,NoReturns,AvgAGI2016
AZ,85377,372784,1840,202600.0
AZ,85379,1054220,18140,58116.0
AZ,85381,781171,12300,63510.0
AZ,85382,1222451,19310,63307.0
AZ,85383,2516808,23770,105882.0
AZ,85387,353237,5100,69262.0
AZ,85388,650669,11080,58725.0
AZ,85390,173814,2900,59936.0
AZ,85392,841959,16430,51245.0
AZ,85395,1088315,12810,84958.0
AZ,85396,693550,8840,78456.0
AZ,85501,149039,3260,45717.0
AZ,85530,14441,590,24476.0
AZ,85531,13052,190,68695.0
AZ,85533,48958,950,51535.0
AZ,85534,41127,870,47272.0
AZ,85536,5404,120,45033.0
AZ,85539,41982,980,42839.0
AZ,85540,97654,1500,65103.0
AZ,85541,483404,9140,52889.0
AZ,85542,23680,870,27218.0
AZ,85543,64052,1270,50435.0
AZ,85544,69908,1170,59750.0
AZ,85545,7462,170,43894.0
AZ,85546,274755,5720,48034.0
AZ,85550,45930,1640,28006.0
AZ,85551,8376,210,39886.0
AZ,85552,139484,2400,58118.0
AZ,85553,26832,570,47074.0
AZ,85554,9817,210,46748.0
AZ,85601,8888,250,35552.0
AZ,85602,179162,3870,46295.0
AZ,85603,116737,2730,42761.0
AZ,85605,7718,200,38590.0
AZ,85606,14111,320,44097.0
AZ,85607,193111,6380,30268.0
AZ,85608,23511,750,31348.0
AZ,85609,5596,110,50873.0
AZ,85610,17827,380,46913.0
AZ,85611,18879,370,51024.0
AZ,85613,54885,1330,41267.0
AZ,85614,678664,10940,62035.0
AZ,85615,244376,3860,63310.0
AZ,85616,90640,2070,43787.0
AZ,85617,15685,370,42392.0
AZ,85618,20521,560,36645.0
AZ,85620,10640,460,23130.0
AZ,85621,296219,8860,33433.0
AZ,85622,242368,3360,72133.0
AZ,85623,139776,2140,65316.0
AZ,85624,27961,540,51780.0
AZ,85625,28958,670,43221.0
AZ,85626,10460,430,24326.0
AZ,85627,6716,160,41975.0
AZ,85629,713680,11270,63326.0
AZ,85630,50117,920,54475.0
AZ,85631,47485,1220,38922.0
AZ,85632,10777,260,41450.0
AZ,85634,71356,2080,34306.0
AZ,85635,748309,14700,50905.0
AZ,85637,53798,660,81512.0
AZ,85638,30014,820,36602.0
AZ,85640,16629,300,55430.0
AZ,85641,835340,10880,76778.0
AZ,85643,103276,2540,40660.0
AZ,85645,27883,770,36212.0
AZ,85646,67347,640,105230.0
AZ,85648,347387,8010,43369.0
AZ,85650,456135,6430,70939.0
AZ,85653,322999,6250,51680.0
AZ,85658,568047,6080,93429.0
AZ,85701,135914,2640,51483.0
AZ,85704,1040527,15710,66233.0
AZ,85705,592116,20680,28632.0
AZ,85706,564079,20490,27529.0
AZ,85707,8350,460,18152.0
AZ,85708,53441,1200,44534.0
AZ,85710,1092878,25960,42099.0
AZ,85711,717071,17430,41140.0
AZ,85712,608815,14030,43394.0
AZ,85713,561230,17850,31441.0
AZ,85714,148964,5500,27084.0
AZ,85715,695189,9080,76563.0
AZ,85716,665706,13960,47687.0
AZ,85718,2099519,13640,153924.0
AZ,85719,597758,14400,41511.0
AZ,85730,743458,17530,42411.0
AZ,85735,179563,4180,42958.0
AZ,85736,51171,1400,36551.0
AZ,85737,962502,10820,88956.0
AZ,85739,641428,8410,76270.0
AZ,85741,744876,15420,48306.0
AZ,85742,864118,12800,67509.0
AZ,85743,852509,12820,66498.0
AZ,85745,951208,16130,58971.0
AZ,85746,630677,17150,36774.0
AZ,85747,735854,10860,67758.0
AZ,85748,644188,9290,69342.0
AZ,85749,923025,8990,102672.0
AZ,85750,1462800,11890,123028.0
AZ,85755,805411,7530,106960.0
AZ,85756,490116,12360,39653.0
AZ,85757,337076,8030,41977.0
